"Unlock your Google Shopping performance with the most powerful automation solution","Maximieren Sie Ihre Performance auf Google Shopping mit der wirkungsstärksten Automatisierungslösung"
"Forgot your password?","Passwort vergessen?"
"Password","Passwort"
"Please enter your email address:","Bitte geben Sie Ihre E-Mail-Adresse ein :"
"Submit","Bestätigen"
"Telephone","Telefon"
"Your site URL","URL Ihrer Website"
"Name","Vorname"
"Surname","Name"
"Email address","E-Mail-Adresse"
"Twenga Solutions username (your email)","Ihr Twenga Solutions Login (Ihre E-Mail Adresse)"
"Twenga Solutions password","Ihr Twenga Solutions Passwort"
"Install Twenga Solutions","Twenga Solutions installieren"
"Create your account","Ihr Konto erstellen"
"Step 1: Configure your account","Schritt 1: Ihr Konto einrichten"
"Step 2: Finalise your Twenga Solutions module installation","Schritt 2: Installation des Twenga Solutions Moduls beenden"
"I already have a Twenga Solutions account","Ich habe bereits ein Twenga Solutions Konto"
"I don't have a Twenga Solutions account","Ich habe kein Twenga Solutions Konto"
"You already have a Twenga Solutions account. Please fill in the fields below.","Sie haben bereits ein Twenga Solutions Konto. Bitte füllen Sie folgende Felder aus."
"You do not have a Twenga Solutions account. Please fill in the fields below in order to begin your subscription.","Sie haben noch kein Twenga Solutions Konto. Bitte füllen Sie folgende Felder aus um sich anzumelden."
"Warning: We have now taken your request into account. In order to benefit from our services you must finalise your subscription.","Achtung: Wir haben Ihre Anfrage erhalten. Bitte beenden Sie Ihre Anmeldung um von unseren Dienstleistungen zu profitieren."
"Finalise your subscription","Beenden Sie Ihre Anmeldung"
"Congratulations you have now installed Twenga Tracking!","Herzlichen Glückwunsch Sie haben das Twenga-Tracking erfolgreich installiert!"
"With Twenga Tracking:","Mit dem Twenga-Tracking:"
"I can measure the quality of my traffic by following my conversion rates and acquisition costs per category.","Messe ich die Qualität meines Traffics durch die Verfolgung meiner Konversionsraten und meiner Akquisitionskosten pro Kategorie."
"I can optimise my budget by prioritising the highest performing offers thanks to Twenga's automatic settings.","Optimiere ich mein Budget durch die Bevorzugung der am besten performenden Angebote dank der automatischen Regeln von Twenga."
"I can secure my performance thanks to proactive monitoring and recommendations from the Twenga teams.","Sichere ich meine Performance dank des proaktiven Trackings und der Empfehlungen von Twenga."
"Continue to your interface","Zu Ihrer Benutzeroberfläche"
"Benefit from a complete range of marketing and analytics tools with your Twenga Solutions account","In Ihrem Twenga Solutions Konto profitieren Sie von einem kompletten Marketing und Analysetool."
"Step:","Schritt:"
"Clients:","Kunden:"
"Our clients","Unsere Referenzen"
"If you have already installed the module on your website, please go to your Twenga Solutions interface.","Sie haben das Modul bereits auf Ihrer Seite installiert. Wir bitten Sie auf Ihre Twenga Solutions-Benutzeroberfläche zuzugreifen."
"Close","Schließen"
"Authentication failed","Authentifizierung fehlgeschlagen"
"Enable","Aktivieren"
"Connect with success","Erfolgreich verbunden"