"Unlock your Google Shopping performance with the most powerful automation solution","Maximisez votre performance Google Shopping avec la solution d'automatisation la plus puissante"
"Forgot your password?","Mot de passe oublié ?"
"Password","Mot de passe"
"Please enter your email address:","Veuillez saisir votre adresse e-mail :"
"Submit","Valider"
"Telephone","Téléphone"
"Your site URL","URL de votre site"
"Name","Prénom"
"Surname","Nom"
"Email address","Adresse e-mail"
"Twenga Solutions username (your email)","Login Twenga Solutions (votre email)"
"Twenga Solutions password","Mot de passe Twenga Solutions "
"Install Twenga Solutions","Installer Twenga Solutions"
"Create your account","Créer votre compte"
"Step 1: Configure your account","Etape 1 : Configurer votre compte"
"Step 2: Finalise your Twenga Solutions module installation","Etape 2 : Finaliser l'installation du module Twenga Solutions"
"I already have a Twenga Solutions account","J'ai déjà un compte Twenga Solutions"
"I don't have a Twenga Solutions account","Je n'ai pas de compte Twenga Solutions"
"You already have a Twenga Solutions account. Please fill in the fields below.","Vous avez déjà un compte Twenga Solutions. Nous vous invitons à renseigner les champs ci-dessous."
"You do not have a Twenga Solutions account. Please fill in the fields below in order to begin your subscription.","Vous n'avez pas de compte Twenga Solutions. Nous vous invitons à renseigner les champs ci-dessous afin de commencer votre inscription."
"Warning: We have now taken your request into account. In order to benefit from our services you must finalise your subscription.","Attention : Nous avons bien pris en compte votre demande, afin de bénéficier de nos services vous devez finaliser votre inscription."
"Finalise your subscription","Finalisez votre inscription"
"Congratulations you have now installed Twenga Tracking!","Félicitations vous avez bien installé le Tracking Twenga !"
"With Twenga Tracking:","Avec le Tracking Twenga :"
"I can measure the quality of my traffic by following my conversion rates and acquisition costs per category.","Je mesure la qualité de mon trafic en suivant mes taux de conversion et mes coûts d'acquisitions par catégorie."
"I can optimise my budget by prioritising the highest performing offers thanks to Twenga's automatic settings.","J'optimise mon budget en privilégiant les offres les plus performantes grâce aux règles automatiques Twenga."
"I can secure my performance thanks to proactive monitoring and recommendations from the Twenga teams.","Je sécurise ma performance grâce au suivi proactif et aux recommandations des équipes Twenga."
"Continue to your interface","Accéder à votre interface"
"Benefit from a complete range of marketing and analytics tools with your Twenga Solutions account","Vous bénéficierez depuis votre compte Twenga solutions d’une suite complète d’outils marketing et analytiques."
"Step:","Etape :"
"Clients:","Clients :"
"Our clients","Ils nous font déjà confiance"
"If you have already installed the module on your website, please go to your Twenga Solutions interface.","Vous avez déjà installé le module sur votre site, nous vous invitons à accéder à votre interface Twenga solutions."
"Close","Fermer"
"Authentication failed","Authentification échouée"
"Enable","Activer"
"Connect with success","Connecté avec succès"