"Unlock your Google Shopping performance with the most powerful automation solution","Optimaliseer je performance op Google Shopping met de krachtigste automatiseringsoplossing"
"Forgot your password?","Wachtwoord vergeten?"
"Password","Wachtwoord"
"Please enter your email address:","Gelieve uw e-mailadres in te vullen:"
"Submit","Bevestigen"
"Telephone","Telefoon"
"Your site URL","Uw site URL"
"Name","Voornaam"
"Surname","Achternaam"
"Email address","Email-adres"
"Twenga Solutions username (your email)","Twenga Solutions log-in (uw emailadres)"
"Twenga Solutions password","Twenga Solutions wachtwoord"
"Install Twenga Solutions","Twenga Solutions installeren"
"Create your account","Maak je account aan"
"Step 1: Configure your account","Stap 1: Configureer je account"
"Step 2: Finalise your Twenga Solutions module installation","Stap 2: Voltooi de installatie van de Twenga Solutions module"
"I already have a Twenga Solutions account","Ik heb al een Twenga Solutions account"
"I don't have a Twenga Solutions account","Ik heb geen Twenga Solutions account"
"You already have a Twenga Solutions account. Please fill in the fields below.","Je hebt al een Twenga Solutions account. Vul de velden hieronder in."
"You do not have a Twenga Solutions account. Please fill in the fields below in order to begin your subscription.","Je hebt nog geen Twenga Solutions account. We vragen je om de onderstaande velden in te vullen zodat je je inschrijving kan beginnen."
"Warning: We have now taken your request into account. In order to benefit from our services you must finalise your subscription.","Opgelet: We hebben je aanvraag ontvangen. Voltooi je inschrijving om gebruik te kunnen maken van onze services."
"Finalise your subscription","Voltooi je inschrijving"
"Congratulations you have now installed Twenga Tracking!","Gefeliciteerd je hebt de Twenga Tracking succesvol geïnstalleerd!"
"With Twenga Tracking:","Met de Twenga Tracking:"
"I can measure the quality of my traffic by following my conversion rates and acquisition costs per category.","Ik meet de kwaliteit van mijn traffic door mijn conversieratio en de Cost of Sales per categorie te volgen."
"I can optimise my budget by prioritising the highest performing offers thanks to Twenga's automatic settings.","Ik benut mijn budget optimaal door voorrang te geven aan de best presterende aanbiedingen dankzij de automatische instellingen van Twenga."
"I can secure my performance thanks to proactive monitoring and recommendations from the Twenga teams.","Ik ben verzekerd van een goede performance dankzij de proactieve ondersteuning van Twenga's team."
"Continue to your interface","Ga naar je interface"
"Benefit from a complete range of marketing and analytics tools with your Twenga Solutions account","Via je Twenga Solutions account profiteer je van uitgebreide marketing- en analysemogelijkheden."
"Step:","Stap:"
"Clients:","Klanten:"
"Our clients","Onze referenties"
"If you have already installed the module on your website, please go to your Twenga Solutions interface.","Je hebt de module al geïnstalleerd op je website. Ga naar de interface van Twenga Solutions."
"Close","Dichtbij"
"Authentication failed","Verificatie mislukt"
"Enable","In staat stellen"
"Connect with success","Succes aangesloten"